close,close_time,datetime,high,low,open,quote_volume,symbol,taker_buy_quote_volume,taker_buy_volume,timestamp,trades,volume
196.65,1588100399999,2020-04-28T23:30:00,196.92,195.69,195.83,3339069.1060902,ETHUSDT,1776279.7545523,9040.18896,1588096800000,5582,16996.87181
195.59,1588103999999,2020-04-29T00:30:00,197.03,195.4,196.62,2899196.3180253,ETHUSDT,1490929.4539562,7594.57239,1588100400000,5241,14774.02508
196.23,1588107599999,2020-04-29T01:30:00,196.55,195.03,195.59,1989751.2984541,ETHUSDT,958192.4029752,4890.92612,1588104000000,3919,10156.47616
196.3,1588111199999,2020-04-29T02:30:00,196.4,195.66,196.22,1187809.187435,ETHUSDT,596044.4152154,3040.39422,1588107600000,3023,6059.0133
197.01,1588114799999,2020-04-29T03:30:00,197.16,196.03,196.3,4461467.9393657,ETHUSDT,2520856.6679233,12816.48182,1588111200000,5402,22685.5104
196.24,1588118399999,2020-04-29T04:30:00,197.61,196.18,197.03,4848918.4640084,ETHUSDT,2351564.141035,11927.5735,1588114800000,7292,24599.0585
196.61,1588121999999,2020-04-29T05:30:00,197.43,196.22,196.24,3449839.1834477,ETHUSDT,1683291.4582525,8546.29082,1588118400000,6035,17516.64627
197.33,1588125599999,2020-04-29T06:30:00,197.6,196.37,196.61,3211208.0933793,ETHUSDT,1787765.7863297,9065.49671,1588122000000,5499,16285.99996
197.91,1588129199999,2020-04-29T07:30:00,199.42,197.0,197.36,16427109.7072837,ETHUSDT,7979452.1988788,40250.3659,1588125600000,20183,82887.30223
198.05,1588132799999,2020-04-29T08:30:00,198.89,197.69,197.92,5017297.9177416,ETHUSDT,2364858.0913345,11925.04479,1588129200000,7398,25302.86535
198.8,1588136399999,2020-04-29T09:30:00,198.89,197.51,198.06,3546477.8835333,ETHUSDT,1691691.8242145,8538.72954,1588132800000,5876,17900.13389
199.32,1588139999999,2020-04-29T10:30:00,199.43,198.39,198.82,6267670.6323464,ETHUSDT,3189796.5580574,16026.38377,1588136400000,8458,31490.80283
205.47,1588143599999,2020-04-29T11:30:00,207.11,199.33,199.33,44734932.7490141,ETHUSDT,24206005.9599198,118772.3384,1588140000000,52614,219443.53467
205.29,1588147199999,2020-04-29T12:30:00,206.0,204.21,205.47,12009661.0450016,ETHUSDT,4395541.7344114,21429.7606,1588143600000,14252,58560.33935
205.06,1588150799999,2020-04-29T13:30:00,206.0,204.74,205.29,7490586.6980615,ETHUSDT,3879545.8924818,18885.65512,1588147200000,9692,36468.92915
206.06,1588154399999,2020-04-29T14:30:00,206.64,204.91,205.06,8203504.133721,ETHUSDT,3750310.2317503,18225.11612,1588150800000,11546,39869.49561
207.76,1588157999999,2020-04-29T15:30:00,208.8,205.66,206.06,20445814.3528941,ETHUSDT,10016630.5259267,48311.47666,1588154400000,24732,98621.61789
207.48,1588161599999,2020-04-29T16:30:00,209.74,206.97,207.76,15104133.9384065,ETHUSDT,7578313.3750226,36375.91184,1588158000000,18662,72517.78924
210.02,1588165199999,2020-04-29T17:30:00,210.27,207.38,207.47,13254273.0284121,ETHUSDT,6992013.0441604,33461.09613,1588161600000,16972,63435.50282
208.4,1588168799999,2020-04-29T18:30:00,210.99,207.39,210.05,24302002.7150874,ETHUSDT,12198923.4615938,58374.59306,1588165200000,30142,116324.83998
209.36,1588172399999,2020-04-29T19:30:00,209.5,207.61,208.4,10421096.139554,ETHUSDT,6022387.8554047,28875.8838,1588168800000,13588,49968.40332
209.72,1588175999999,2020-04-29T20:30:00,209.98,208.25,209.31,8431826.2921879,ETHUSDT,4237715.248433,20254.36348,1588172400000,11701,40310.35556
214.3,1588179599999,2020-04-29T21:30:00,218.77,208.66,209.74,46564467.6880285,ETHUSDT,23930300.5483491,111832.77075,1588176000000,58031,217689.60334
215.04,1588183199999,2020-04-29T22:30:00,218.13,213.57,214.32,31265342.6703998,ETHUSDT,15896021.7292986,73583.96576,1588179600000,38215,144728.28022
214.56,1588186799999,2020-04-29T23:30:00,215.69,211.0,214.98,24441841.6246715,ETHUSDT,11883535.4728189,55541.01015,1588183200000,32993,114271.60765
215.9,1588190399999,2020-04-30T00:30:00,216.5,214.44,214.54,7963485.6798672,ETHUSDT,4308954.786824,19989.48184,1588186800000,11968,36960.02153
216.54,1588193999999,2020-04-30T01:30:00,216.67,215.36,215.9,5767659.6239737,ETHUSDT,2817494.6379209,13041.40259,1588190400000,10364,26696.25935
215.33,1588197599999,2020-04-30T02:30:00,216.95,214.3,216.51,7202536.462607,ETHUSDT,3507693.5130982,16290.20186,1588194000000,13017,33450.24617
214.74,1588201199999,2020-04-30T03:30:00,215.45,212.6,215.33,8903891.1721633,ETHUSDT,4356036.6418701,20346.44307,1588197600000,15547,41602.72613
215.36,1588204799999,2020-04-30T04:30:00,215.64,214.45,214.72,3897934.2055085,ETHUSDT,1990473.7326068,9251.57228,1588201200000,7662,18119.4218
216.86,1588208399999,2020-04-30T05:30:00,217.0,214.3,215.4,7501424.6454784,ETHUSDT,3215116.7122205,14919.77489,1588204800000,11300,34821.45828
217.35,1588211999999,2020-04-30T06:30:00,218.63,216.33,216.87,9754113.6317725,ETHUSDT,4544722.9445743,20901.25071,1588208400000,14434,44862.62009
218.46,1588215599999,2020-04-30T07:30:00,218.98,216.54,217.34,7435594.0200599,ETHUSDT,3652159.2364607,16784.44054,1588212000000,11134,34182.89729
225.57,1588219199999,2020-04-30T08:30:00,226.12,217.24,218.46,33541013.3036317,ETHUSDT,18028093.2347174,81289.63311,1588215600000,42580,151275.93451
222.79,1588222799999,2020-04-30T09:30:00,225.65,220.5,225.59,20992529.4487604,ETHUSDT,10168585.4223715,45634.30448,1588219200000,28231,94212.30446
225.98,1588226399999,2020-04-30T10:30:00,227.0,222.0,222.77,15666562.0443682,ETHUSDT,8176964.7038354,36377.95319,1588222800000,21120,69741.87804
223.32,1588229999999,2020-04-30T11:30:00,227.3,223.08,225.94,19894712.1613868,ETHUSDT,9848172.832747,43754.52907,1588226400000,26416,88394.05942
220.31,1588233599999,2020-04-30T12:30:00,223.87,216.3,223.32,25500266.1659862,ETHUSDT,11939371.1873577,54271.86564,1588230000000,36469,115944.37216
216.5,1588237199999,2020-04-30T13:30:00,220.82,216.5,220.3,14208124.974351,ETHUSDT,6907711.6146481,31576.61174,1588233600000,19039,64979.09372
206.23,1588240799999,2020-04-30T14:30:00,216.57,205.92,216.51,38906175.4020541,ETHUSDT,17015658.2792159,80094.66875,1588237200000,52232,183193.34565
212.28,1588244399999,2020-04-30T15:30:00,212.67,202.0,206.23,33979773.5648791,ETHUSDT,16376414.9458731,78439.81944,1588240800000,46690,163031.25872
211.77,1588247999999,2020-04-30T16:30:00,214.26,211.62,212.33,16660529.9192618,ETHUSDT,7705970.3487652,36189.16691,1588244400000,22431,78245.91708
208.99,1588251599999,2020-04-30T17:30:00,213.34,207.3,211.71,14158645.2883409,ETHUSDT,6080081.9489256,28820.08753,1588248000000,21095,67142.04301
